Housing Loan Repayments (monthly) Ranges (HLRD01),lga,$1 - $99,$100 - $149,$150 - $249,$250 - $399,$400 - $549,$550 - $649,$650 - $749,$750 - $849,$850 - $949,"$950 - $1,049","$1,050 - $1,199","$1,200 - $1,399","$1,400 - $1,599","$1,600 - $1,999","$2,000 - $2,399","$2,400 - $2,999","$3,000 - $3,999","$4,000 and over",Not stated,Not applicable,
,Broadsound (S),0,0,6,6,17,5,6,3,10,10,7,9,4,9,4,4,3,4,57,2816,
,Bulloo (S),0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,212,
,Bundaberg (C),39,26,92,167,393,221,434,309,455,272,481,497,266,314,123,45,48,20,373,14700,
,Bungil (S),0,0,5,3,22,12,15,10,9,5,4,19,10,14,8,4,3,3,69,819,
,Burdekin (S),9,3,32,57,176,93,175,129,170,104,151,119,65,61,36,15,4,10,192,6215,
,Burke (S),0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,302,
,Burnett (S),22,15,81,142,296,135,265,180,253,194,251,287,180,261,160,84,42,37,285,8741,
,Caboolture (S),109,66,280,400,922,436,812,681,1078,982,1393,2113,1543,2236,1328,573,308,177,1278,34981,
,Cairns (C),78,45,170,301,644,327,729,708,1110,1061,1521,2095,1482,2111,1143,514,349,203,1258,42240,
,Calliope (S),12,7,30,42,91,58,99,109,165,146,170,334,248,368,203,89,49,30,201,4133,
,Caloundra (C),82,51,182,259,497,239,444,338,515,500,684,1066,816,1359,926,482,353,252,912,30961,
,Cambooya (S),3,4,12,21,50,51,61,52,63,53,95,114,77,95,58,30,18,13,60,1134,
,Cardwell (S),3,4,11,27,96,41,77,57,100,59,82,91,56,55,36,22,11,15,94,3731,
,Carpentaria (S),0,0,0,7,9,11,9,3,4,8,4,8,0,0,5,0,3,3,14,1194,
,Charters Towers (C),4,4,18,34,93,44,83,44,80,43,82,61,30,36,23,4,9,0,65,2668,
,Cherbourg (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,
,Chinchilla (S),0,0,13,18,50,42,59,31,54,34,36,50,22,33,19,13,4,11,81,2207,
,Clifton (S),0,0,5,21,23,17,22,13,23,14,19,20,11,7,9,12,0,9,35,882,
,Cloncurry (S),0,0,0,4,11,3,23,13,19,17,19,7,15,11,0,0,7,7,29,1211,
,Cook (S),3,3,9,13,29,10,12,15,16,17,13,18,15,7,9,3,7,6,52,1811,
,Cooloola (S),30,34,112,219,419,211,398,240,333,246,399,435,263,339,155,59,54,38,418,11945,
,Crow's Nest (S),13,9,26,45,89,52,87,95,126,89,143,178,153,213,148,73,38,15,132,2997,
,Croydon (S),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,144,
