Industry of Employment (ANZSIC93) (IND93P),lga,Not stated,Not applicable,Agriculture,Services to Agriculture; Hunting and Trapping,Forestry and Logging,Commercial Fishing,"Agriculture, Forestry and Fishing, undefined",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Other Mining,Services to Mining,"Mining, undefined","Food, Beverage and Tobacco Manufacturing","Textile, Clothing, Footwear and Leather Manufacturing",Wood and Paper Product Manufacturing,"Printing, Publishing and Recorded Media","Petroleum, Coal, Chemical and Associated Product Manufacturing",Non-Metallic Mineral Product Manufacturing,Metal Product Manufacturing,Machinery and Equipment Manufacturing,Other Manufacturing,"Manufacturing, undefined",Electricity and Gas Supply,"Water Supply, Sewerage and Drainage Services","Electricity, Gas and Water Supply, undefined",General Construction,Construction Trade Services,"Construction, undefined",Basic Material Wholesaling,Machinery and Motor Vehicle Wholesaling,Personal and Household Good Wholesaling,"Wholesale Trade, undefined",Food Retailing,Personal and Household Good Retailing,Motor Vehicle Retailing and Services,"Retail Trade, undefined","Accommodation, Cafes and Restaurants",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Services to Transport,Storage,"Transport and Storage, undefined",Communication Services,Finance,Insurance,Services to Finance and Insurance,"Finance and Insurance, undefined",Property Services,Business Services,"Property and Business Services, undefined",Government Administration,Defence,"Government Administration and Defence, undefined",Education,Health Services,Community Services,"Health and Community Services, undefined","Motion Picture, Radio and Television Services","Libraries, Museums and the Arts",Sport and Recreation,"Cultural and Recreational Services, undefined",Personal Services,Other Services,Private Households Employing Staff,"Personal and Other Services, undefined",Non-Classifiable Economic Units,
,Not stated,111629,0,8750,879,399,596,149,1267,366,1646,265,947,802,6584,1354,2010,1972,2255,1325,4432,5913,1565,12099,1204,400,49,20742,25335,1950,1728,2560,4974,2860,17956,13819,5293,8701,21420,13883,1087,513,1282,27,2619,584,555,3661,3501,1335,1176,216,2604,24145,64,7842,2731,42,14817,13557,10986,5375,873,1200,3995,349,5489,3190,26,4,17672,
,Albury (C),19,0,115,40,27,9,0,5,0,0,5,0,0,99,279,333,123,130,62,532,832,94,242,88,39,0,686,822,40,260,396,269,59,1427,2100,550,140,1423,595,8,4,37,0,101,18,12,256,359,143,154,18,337,1452,0,1477,21,0,1628,1979,791,81,155,49,155,9,422,282,0,0,150,
,Sydney Undefined,60,0,17,0,0,0,0,5,0,0,0,3,0,46,8,12,57,22,14,21,59,22,54,17,28,0,351,447,35,28,50,113,33,146,206,31,104,368,158,94,34,35,0,103,3,21,147,263,129,143,18,60,971,0,261,26,0,345,233,161,41,23,43,59,13,61,106,0,0,186,
,Armidale Dumaresq (A),12,0,501,56,0,0,0,0,0,19,0,3,5,37,15,33,59,3,8,38,40,58,44,36,18,0,170,264,4,113,76,113,12,674,720,260,51,662,132,3,0,14,0,30,0,6,98,187,25,55,3,114,710,0,501,19,0,2347,834,430,37,28,48,97,0,171,185,0,0,70,
,Ashfield (A),19,0,6,0,0,0,0,0,0,0,0,0,0,155,64,12,60,12,12,3,67,61,35,10,0,0,262,225,16,26,134,145,28,682,648,306,61,622,140,26,4,0,0,79,0,5,54,97,36,56,8,534,948,3,622,0,0,853,995,746,64,19,84,79,11,202,220,0,0,78,
,Auburn (A),55,0,45,9,9,4,0,0,0,0,4,0,11,1592,183,207,1552,626,363,527,2627,289,669,51,47,7,834,1662,99,807,2504,2515,499,1000,2591,658,325,1059,1610,850,12,22,3,343,207,59,1205,657,254,105,15,512,3020,3,798,32,3,1854,1635,532,103,87,67,811,61,429,1718,0,0,593,
,Ballina (A),25,0,811,34,9,26,0,0,0,0,17,0,0,150,57,77,58,100,49,77,170,55,72,57,21,0,371,534,22,171,91,183,36,1028,1101,338,84,885,205,0,4,27,0,54,15,3,114,161,45,88,3,276,879,0,620,0,0,1144,986,541,54,30,86,158,4,250,140,0,0,101,
,Balranald (A),6,0,257,19,3,0,0,0,0,0,5,0,0,23,0,13,0,4,0,0,6,0,3,11,9,0,13,15,0,17,0,14,0,26,23,30,3,69,56,0,0,0,0,0,0,0,3,11,3,0,0,0,21,0,52,0,0,89,51,19,6,0,7,7,0,3,8,0,0,5,
,Bankstown (C),72,0,33,13,10,7,0,4,0,0,18,0,15,2046,401,933,1756,2004,246,2822,3513,1300,1128,52,341,3,1169,2003,78,765,1850,1860,337,2966,3523,1596,334,1663,2405,291,10,331,0,633,172,72,986,635,119,217,28,838,2864,0,1370,4,0,4609,3386,1650,136,77,129,448,11,695,1052,0,0,560,
,Bathurst Regional (A),16,0,563,29,56,3,3,0,0,5,9,4,6,961,30,183,88,54,99,121,157,46,144,255,18,0,306,449,24,128,151,87,18,906,1131,379,79,841,367,86,0,7,0,28,23,4,321,187,33,54,3,194,766,0,951,9,0,1828,1164,480,40,60,40,126,14,243,505,0,0,78,
,Baulkham Hills (A),74,0,482,22,111,10,6,3,47,18,25,5,10,628,179,120,569,1034,77,335,1299,147,399,42,52,0,2102,2220,110,727,1658,1565,307,5263,5053,979,434,1965,450,12,15,11,0,175,52,23,347,941,362,614,39,1039,6562,9,737,3,0,4470,2497,1785,191,160,138,764,31,1101,853,3,0,656,
,Bega Valley (A),18,0,638,19,140,117,4,0,0,0,3,4,0,539,17,112,78,23,47,57,73,47,62,52,34,0,298,391,17,119,81,146,10,765,800,324,56,1129,292,0,14,3,0,52,10,8,88,121,26,33,5,171,593,4,458,3,0,835,846,399,27,30,61,158,7,198,121,0,0,71,
,Bellingen (A),4,0,361,9,14,11,0,0,0,0,0,0,0,82,16,85,32,3,5,4,41,16,19,5,7,0,65,87,3,48,27,45,6,225,150,92,22,308,85,0,3,0,0,9,3,3,25,42,0,9,0,43,163,0,140,0,0,318,282,103,16,3,37,42,0,68,34,0,0,24,
,Berrigan (A),11,0,765,41,0,0,8,0,0,0,9,0,0,51,0,11,6,5,8,27,44,0,11,10,38,0,60,101,0,38,40,24,0,133,87,84,18,382,122,0,0,3,0,6,9,3,18,16,0,4,0,20,69,0,86,0,0,177,185,66,12,0,3,35,0,35,23,0,0,26,
,Blacktown (C),87,0,403,24,10,3,3,4,3,5,159,6,11,3001,270,538,1048,1819,882,2162,2213,801,1282,1436,127,0,2207,2932,278,1332,2358,2904,603,5592,4901,2083,500,2097,3969,294,20,41,0,494,1005,116,731,989,133,211,26,1012,4223,3,2674,7,3,7021,4229,1992,187,180,155,519,34,1116,1621,0,0,882,
,Bland (A),3,0,705,11,3,0,0,0,0,178,8,3,7,10,3,3,4,6,4,19,28,0,19,5,4,0,28,57,9,40,40,28,0,100,107,87,16,150,87,5,0,0,0,8,22,3,22,13,4,5,0,9,65,0,142,0,0,168,92,59,12,0,3,7,0,20,24,0,0,19,
,Blayney (A),6,0,406,22,0,0,0,0,0,14,0,3,0,218,0,15,6,4,12,3,7,3,11,4,18,0,47,73,0,23,7,59,0,79,42,41,8,113,66,20,0,0,0,4,10,0,16,9,3,4,0,11,62,0,75,0,0,164,77,52,10,0,10,17,0,39,16,0,0,8,
,Blue Mountains (C),28,0,160,7,21,0,0,0,0,0,3,0,0,43,48,46,141,23,33,45,66,83,76,45,45,0,352,535,9,101,69,162,24,1304,1152,356,102,1789,262,169,3,3,0,67,11,5,123,185,27,81,7,289,1221,3,664,237,0,1869,1637,1008,78,57,221,160,15,463,374,0,0,143,
,Bogan (A),7,0,355,14,0,0,3,0,0,76,0,35,8,4,0,0,5,3,0,3,3,0,0,7,6,0,7,25,0,10,7,0,0,54,26,37,3,57,29,7,0,0,0,0,4,0,11,9,0,0,0,9,38,0,72,0,0,86,52,49,5,0,3,8,0,8,16,0,0,9,
,Bombala (A),0,0,246,16,85,0,3,0,0,0,0,3,0,4,0,52,3,0,0,3,0,3,12,10,6,0,10,25,0,16,0,10,4,47,38,34,0,39,40,0,0,0,0,0,0,0,8,6,3,0,0,0,23,0,69,0,0,80,68,28,8,0,6,4,0,9,8,0,0,11,
,Boorowa (A),3,0,345,32,0,0,3,0,0,0,0,0,0,3,0,0,7,0,0,5,0,3,0,5,5,0,24,12,0,10,0,3,0,37,13,12,3,41,12,0,0,0,0,0,0,0,5,10,0,0,0,10,15,0,45,0,0,65,41,15,4,0,10,4,0,3,3,0,0,3,
,Botany Bay (C),33,0,20,4,3,0,0,0,0,0,0,3,6,1668,331,290,561,489,53,270,1064,219,289,26,12,7,388,611,41,191,676,1730,283,1314,1832,455,182,1628,2300,84,245,12498,22,2723,194,128,782,298,55,89,14,717,1976,3,590,61,0,440,359,346,42,75,57,181,27,250,229,0,0,339,
,Bourke (A),5,0,267,24,0,0,0,0,0,0,0,0,0,10,3,3,0,0,0,7,0,0,4,12,9,0,17,22,0,12,0,9,3,57,40,33,8,49,14,0,0,0,0,3,0,0,15,12,3,0,0,0,30,0,104,0,0,137,105,44,9,6,3,7,0,13,73,0,0,18,
,Brewarrina (A),0,0,127,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,20,5,0,3,0,0,0,14,8,4,3,20,13,0,0,0,0,3,0,0,7,3,0,0,0,0,7,0,73,0,0,111,69,45,4,0,3,0,0,0,37,0,0,18,
,Broken Hill (C),9,0,104,14,0,3,0,0,0,562,4,47,57,29,7,5,48,19,6,58,38,12,33,138,35,0,108,146,4,56,90,54,9,454,541,200,39,444,137,30,0,6,0,25,4,3,53,54,23,23,0,53,290,0,390,0,0,509,646,359,34,19,24,33,3,120,183,0,0,37,
,Burwood (A),14,0,4,0,0,0,0,3,0,0,0,0,0,119,23,16,46,14,6,19,70,11,25,4,0,0,192,226,12,11,75,108,35,806,1525,223,119,536,316,58,0,0,0,71,5,3,476,646,128,199,26,287,2211,5,663,0,0,1909,1507,661,64,51,26,98,3,264,350,0,0,104,
,Byron (A),18,0,439,16,23,9,4,0,0,5,11,3,0,284,115,17,125,45,35,31,43,128,63,22,28,0,476,377,12,122,71,289,40,955,818,198,77,1340,180,0,4,3,0,78,17,3,77,118,21,29,7,286,837,0,315,0,0,759,691,316,49,48,147,116,7,258,139,0,0,106,
,Cabonne (A),3,0,1225,41,0,0,0,8,0,162,10,11,11,301,10,14,19,6,7,35,18,31,13,16,3,0,45,96,3,34,28,27,0,89,70,54,16,122,72,0,0,3,0,0,3,0,23,10,0,3,0,20,103,0,177,0,0,262,244,52,10,0,5,20,0,28,26,0,0,24,
,Camden (A),21,0,322,32,0,0,0,8,0,3,8,3,3,55,22,140,69,111,54,251,385,96,185,94,32,0,486,714,40,180,234,213,60,1613,947,475,95,628,564,0,5,21,3,47,236,12,114,160,15,125,7,288,818,0,328,22,0,1427,1022,458,53,0,55,203,4,368,200,0,0,130,
,Campbelltown (C),33,0,75,11,0,4,0,143,5,0,13,3,9,715,206,598,388,1508,405,1167,939,385,598,23,26,0,622,1218,47,448,535,764,193,2765,3364,991,287,1471,1122,325,3,5,0,170,259,25,273,371,104,156,10,638,1973,0,1206,302,0,4517,2816,1424,98,133,65,336,13,667,746,0,0,337,
,Canada Bay (A),30,0,6,3,0,3,0,0,0,0,0,0,0,1346,37,47,437,64,15,79,239,61,114,8,26,0,890,674,55,68,678,436,74,1194,1541,533,154,920,164,66,20,6,0,111,24,17,163,1845,67,419,36,492,2550,4,322,0,0,1120,3298,428,83,64,93,250,22,429,586,0,0,242,
,Canterbury (C),39,0,15,0,0,0,0,0,3,4,3,0,0,387,577,207,291,353,81,510,583,321,299,12,4,0,597,1195,46,296,464,1209,158,1504,1977,645,187,1080,656,84,3,5,3,178,33,21,312,232,61,79,19,338,1630,0,1054,0,0,1962,1845,1012,90,59,55,320,12,550,254,0,0,239,
,Carrathool (A),0,0,603,36,0,0,3,0,0,0,0,0,0,22,6,0,0,0,0,4,3,0,7,8,4,0,11,17,0,23,0,14,0,31,25,19,7,39,36,3,0,0,0,0,8,0,6,8,0,3,0,8,22,0,67,0,0,69,32,16,0,0,3,0,0,3,5,0,0,7,
,Central Darling (A),6,0,244,16,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,7,12,0,10,7,0,4,0,3,0,16,3,9,0,50,13,3,3,0,0,0,0,0,5,0,0,0,0,0,12,0,52,0,0,87,32,40,5,0,12,0,0,6,34,0,0,6,
,Cessnock (C),12,0,350,56,3,0,0,228,0,0,3,21,29,610,104,69,37,152,33,762,106,29,96,13,3,0,279,446,14,69,70,165,14,1112,789,416,81,1545,270,3,3,9,0,55,6,5,68,119,25,12,5,139,568,0,370,0,0,1049,840,507,57,9,37,144,7,411,351,0,0,125,
,Clarence Valley (A),28,0,782,28,86,129,13,0,0,3,10,0,3,307,29,537,67,7,92,110,117,54,81,154,4,0,282,480,17,157,122,174,14,1052,1108,506,109,1055,399,88,22,10,0,52,0,9,298,210,32,66,3,237,707,0,1099,0,3,1279,1194,715,57,24,56,155,5,266,342,0,0,112,
,Cobar (A),4,0,176,6,0,0,0,0,0,598,5,53,60,9,0,4,4,17,7,22,22,3,12,8,0,0,25,60,0,19,66,10,3,103,55,54,7,135,24,0,0,0,0,5,3,0,17,15,0,0,0,13,73,0,109,0,0,136,79,40,6,0,7,13,0,22,17,0,0,28,
,Coffs Harbour (C),21,0,708,18,106,44,8,0,0,0,8,0,3,72,58,200,167,42,116,311,257,127,170,84,45,0,587,857,32,198,264,303,41,1822,2155,744,169,2158,587,28,12,25,0,106,16,15,223,371,77,155,11,487,1543,0,1125,13,0,2110,2345,931,121,81,106,314,11,487,343,0,0,137,
,Conargo (A),0,0,193,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,5,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,
,Coolamon (A),0,0,461,8,0,0,4,0,0,0,5,0,0,6,0,0,3,0,3,4,30,3,3,8,0,0,15,27,0,27,3,0,0,41,38,22,4,52,42,0,0,0,0,0,13,0,11,6,0,0,0,7,34,0,57,0,0,128,42,32,0,0,0,14,0,8,10,0,0,7,
,Cooma-Monaro (A),5,0,355,9,5,0,3,0,0,3,6,0,0,66,3,18,17,0,6,43,11,11,19,197,21,0,86,118,4,69,20,38,7,276,255,146,27,253,101,0,0,3,0,13,0,0,34,51,12,7,0,41,301,0,144,63,0,292,246,154,15,10,18,17,0,72,115,0,0,18,
,Coonamble (A),5,0,511,17,3,0,0,0,0,0,0,0,0,0,3,14,6,0,3,4,5,0,10,9,5,0,23,41,3,34,7,7,3,61,49,41,16,48,29,3,0,0,0,0,6,0,11,14,3,3,0,4,61,3,106,0,0,173,93,80,8,3,4,16,0,26,35,0,0,20,
,Cootamundra (A),0,0,287,19,4,0,0,0,0,0,0,0,0,142,8,8,21,4,5,13,32,32,11,10,16,0,37,69,6,51,8,21,6,144,124,99,15,152,94,108,3,4,0,5,4,3,24,27,7,11,0,26,173,0,95,0,0,207,222,77,3,0,0,11,0,41,48,0,0,23,
,Corowa Shire (A),8,0,949,22,0,0,3,0,0,0,0,0,0,147,4,16,5,48,9,298,22,15,25,10,8,0,74,105,7,45,42,35,3,281,174,78,18,616,166,0,0,0,0,9,3,3,21,33,3,3,0,28,138,0,81,10,0,180,164,87,12,0,3,34,0,75,32,0,0,15,
,Cowra (A),8,0,702,25,3,0,3,0,3,3,8,0,0,302,16,11,20,3,11,32,54,132,23,26,22,0,51,105,0,109,91,70,10,277,295,151,23,227,122,0,0,0,0,8,6,4,41,44,10,15,0,44,174,0,200,0,0,302,298,160,15,8,12,33,0,74,41,0,0,31,
,Deniliquin (A),14,0,506,32,20,0,0,0,0,0,0,0,0,137,3,27,16,9,7,35,27,17,11,29,96,0,47,117,0,77,40,22,3,252,221,137,23,176,126,0,0,4,0,8,6,0,25,44,10,32,3,39,174,0,179,0,0,281,298,125,7,9,10,15,0,57,61,0,0,21,
,Dubbo (C),30,0,589,50,8,0,3,0,0,0,20,7,3,623,30,78,134,56,65,152,136,51,105,152,68,0,426,575,34,319,291,301,39,1019,1347,613,114,768,496,83,0,40,3,65,65,9,191,277,76,131,3,235,982,0,944,10,3,1574,1697,642,72,62,107,124,3,282,360,0,0,112,
,Dungog (A),8,0,422,13,9,3,6,0,0,0,3,0,0,12,5,34,8,0,7,8,8,7,10,15,14,0,44,79,0,17,18,18,0,133,57,43,15,157,70,10,0,0,0,4,0,0,26,18,3,3,0,22,101,0,127,0,0,218,118,41,3,4,7,16,0,26,19,0,0,28,
,Eurobodalla (A),10,0,222,20,44,80,0,0,0,3,3,0,0,42,36,120,67,13,38,111,82,80,62,53,48,4,321,420,15,90,75,89,12,992,1036,329,78,1172,213,0,10,8,0,39,6,7,129,129,23,26,0,220,611,0,511,4,0,848,915,416,46,24,93,131,3,218,217,0,0,72,
,Fairfield (C),69,0,205,9,0,10,0,0,3,3,18,0,7,1036,573,1504,470,1510,1211,1481,1397,966,984,153,52,9,1021,1709,119,1007,1519,1624,378,2570,2721,1314,383,2036,1819,43,0,3,0,224,366,63,268,520,61,178,29,634,2387,7,1374,0,0,3698,2637,1167,154,62,52,371,16,641,731,0,0,582,
,Forbes (A),11,0,628,18,5,0,7,0,0,5,4,0,3,53,22,4,10,30,17,34,20,19,30,18,11,0,68,99,11,103,44,26,4,192,182,130,23,146,79,3,0,0,0,7,6,0,26,48,11,10,0,20,150,0,146,0,0,316,215,198,13,0,12,23,0,59,49,0,0,30,
,Gilgandra (A),4,0,412,13,0,0,0,0,0,0,0,0,0,7,0,0,8,3,0,0,14,4,5,10,3,0,14,27,0,17,14,8,0,73,59,69,10,112,47,0,0,0,0,0,7,0,8,13,0,3,0,3,29,0,97,0,0,122,91,71,12,0,3,26,0,16,27,0,0,13,
,Glen Innes Severn (A),6,0,636,23,0,0,0,0,0,0,4,0,0,12,9,4,11,3,16,22,12,4,17,14,7,0,50,63,4,51,19,18,0,187,177,97,25,183,105,0,0,0,0,3,0,0,33,36,10,3,3,29,132,0,201,0,0,218,262,94,4,0,20,14,0,59,78,0,0,25,
,Gloucester (A),3,0,326,3,8,4,0,39,0,36,0,20,0,23,0,27,10,0,7,14,53,8,19,7,4,0,26,54,0,25,12,12,0,98,84,40,9,104,46,0,0,0,0,4,0,4,10,16,0,0,0,25,63,0,85,0,0,126,160,30,7,0,9,6,0,30,15,0,0,11,
,Gosford (C),58,0,447,52,12,34,3,6,0,3,84,5,20,1121,377,304,469,367,237,541,906,246,363,182,78,0,1273,1691,72,384,501,948,153,3544,4462,1457,305,2833,634,199,28,10,0,200,85,15,524,657,244,367,22,989,3598,8,2592,13,3,3693,6255,2256,308,186,200,659,40,1143,821,4,0,407,
,Goulburn Mulwaree (A),11,0,386,34,3,0,0,0,0,0,32,3,7,257,43,40,65,5,124,102,92,43,84,65,11,0,187,300,10,130,95,102,21,803,691,347,59,605,277,65,0,0,0,24,230,5,80,120,19,38,4,137,500,0,550,0,0,852,939,427,48,27,33,105,3,184,801,0,0,65,
,Greater Taree (C),18,0,702,32,32,42,6,7,0,0,26,0,3,466,27,89,77,29,92,226,571,82,106,60,39,0,365,517,32,177,208,188,25,1011,1120,428,102,711,330,113,4,3,0,26,6,6,112,159,20,52,4,220,679,0,504,0,0,1160,1718,527,53,49,43,160,3,238,183,0,0,72,
,Greater Hume Shire (A),4,0,1097,34,3,0,10,0,0,0,21,0,0,12,3,69,10,3,57,54,13,46,38,14,0,0,55,89,6,36,15,12,0,135,82,108,7,141,124,0,0,0,0,4,3,4,13,22,9,4,0,3,104,0,130,0,0,276,158,52,11,0,6,4,0,25,42,0,0,23,
,Great Lakes (A),28,0,311,10,30,146,3,15,0,20,7,4,0,29,12,151,34,24,33,64,46,40,82,27,61,0,408,424,22,57,42,88,6,738,705,303,49,1019,155,4,23,0,0,29,9,5,73,103,17,53,8,273,459,3,395,0,0,683,665,414,46,10,39,168,8,193,170,0,0,59,
,Griffith (C),31,0,1234,69,0,3,11,0,0,0,4,0,0,1549,7,27,49,16,45,110,93,46,97,41,112,0,219,293,13,156,199,259,18,588,810,330,92,373,198,4,0,9,4,48,7,3,60,137,31,47,3,108,517,0,375,0,0,655,526,384,28,34,21,39,0,182,128,0,0,94,
,Gundagai (A),7,0,372,7,0,0,0,0,0,0,3,0,0,121,0,0,4,0,0,14,3,0,8,4,0,0,43,41,0,27,3,20,0,117,58,32,6,140,35,0,0,0,0,0,0,0,8,8,3,3,0,3,44,0,70,0,0,90,80,19,11,0,4,5,0,14,17,0,0,11,
,Gunnedah (A),18,0,779,54,5,0,9,46,0,0,0,12,0,79,91,42,26,12,35,32,19,6,27,24,8,0,48,105,3,69,57,21,6,249,222,146,41,194,141,5,0,0,0,7,7,0,25,43,17,4,0,53,201,0,218,0,0,338,191,191,15,6,9,47,0,74,49,0,0,51,
,Guyra (A),3,0,539,23,0,0,0,4,0,6,4,0,0,17,0,5,5,0,3,8,3,4,5,3,7,0,23,43,3,24,0,21,0,35,57,38,11,48,34,0,0,0,0,0,0,0,10,18,3,10,0,17,41,0,52,0,0,102,62,22,9,0,0,6,0,4,32,0,0,12,
,Gwydir (A),9,0,664,17,0,3,6,0,0,0,0,0,0,10,7,0,3,9,0,11,12,0,6,12,0,0,27,24,4,27,7,3,3,49,58,24,10,69,30,0,0,0,0,3,0,0,16,16,3,4,0,5,39,0,129,0,0,132,89,33,11,0,8,8,0,17,9,0,0,16,
,Harden (A),0,0,389,14,0,0,3,0,0,0,12,0,0,15,3,3,0,3,15,0,4,0,3,6,3,0,19,19,0,19,0,13,0,47,32,18,3,44,56,17,0,0,0,3,7,3,5,13,0,0,0,4,22,0,53,0,0,92,59,24,4,0,0,11,0,29,20,0,0,7,
,Hastings (A),23,0,548,36,74,81,0,0,0,3,35,0,0,174,49,264,159,43,73,257,196,129,119,741,55,0,676,829,42,188,280,232,25,1764,2097,676,154,1677,534,3,19,18,0,77,14,7,205,375,58,152,13,503,1320,3,908,8,0,1858,2226,932,107,71,66,283,6,541,336,0,0,150,
,Hawkesbury (C),35,0,998,46,6,3,5,0,0,0,4,0,0,223,82,380,492,221,129,278,717,137,300,32,41,0,599,1035,33,284,234,235,73,1349,1156,665,124,998,485,28,20,38,0,54,14,12,121,185,35,82,6,298,1105,3,441,1881,0,1793,1283,646,64,21,55,354,4,379,443,0,0,201,
,Hay (A),9,0,320,29,0,0,0,0,0,0,0,0,0,8,0,4,3,6,0,6,4,3,8,14,4,0,17,38,0,25,13,11,0,66,51,55,4,112,31,0,0,0,0,7,0,0,14,10,3,0,0,6,40,0,117,0,0,99,68,37,3,4,9,6,0,18,21,0,0,13,
,Holroyd (C),46,0,24,12,0,0,4,0,0,3,6,9,9,1376,468,1339,231,894,342,1877,1772,515,772,26,138,0,695,1065,79,926,1239,1192,289,1990,1382,751,199,860,1992,47,3,10,0,313,402,62,182,206,57,71,12,364,1513,0,533,0,0,1638,1436,691,127,55,37,147,3,418,386,0,0,348,
,Hornsby (A),58,0,392,50,63,10,3,0,0,0,3,5,4,1006,97,153,306,521,134,299,779,121,327,150,33,0,1001,1380,49,441,676,924,174,3370,3032,1220,220,1532,459,537,30,3,0,191,41,32,385,799,134,457,17,678,4200,3,964,7,0,4876,4019,1933,188,91,174,596,29,862,702,3,0,429,
,Hunter's Hill (A),12,0,7,3,0,0,0,0,0,0,0,0,0,10,5,7,15,3,0,0,27,0,8,3,0,0,123,102,9,6,40,52,17,195,124,10,29,236,14,0,3,0,0,40,4,3,17,54,8,48,3,86,451,0,92,0,0,606,564,290,39,7,24,25,0,121,116,0,0,36,
,Hurstville (C),30,0,10,5,3,3,0,0,0,0,0,0,3,123,140,127,279,150,41,329,414,257,221,21,11,0,441,750,28,172,448,824,116,1270,1712,442,126,880,247,281,10,12,0,134,34,11,217,550,464,280,14,382,1863,3,805,3,0,1494,1318,681,63,48,165,205,4,435,381,0,0,179,
,Inverell (A),16,0,792,24,12,0,6,0,0,0,17,0,3,488,10,18,23,7,8,40,40,11,36,38,15,0,137,145,4,97,97,46,6,372,400,229,36,237,123,0,0,3,0,8,0,3,44,61,18,13,0,58,227,0,262,3,0,433,428,286,27,19,13,38,0,78,75,0,0,41,
,Jerilderie (A),4,0,173,12,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4,0,0,3,3,3,0,3,10,0,0,5,0,0,24,16,31,0,15,12,0,0,0,0,0,0,0,3,3,0,0,0,0,15,0,44,0,0,20,32,9,0,0,0,11,0,4,4,0,0,0,
,Junee (A),4,0,363,11,0,0,4,0,0,0,0,0,0,81,0,0,0,0,0,17,15,0,8,3,0,0,26,40,0,25,6,11,0,68,31,31,7,79,39,101,0,0,0,0,7,0,7,7,10,0,0,13,41,0,60,0,0,116,96,36,4,0,3,8,0,17,194,0,0,6,
,Kempsey (A),29,0,446,8,13,30,0,0,0,0,4,0,0,237,47,101,28,11,61,97,28,33,53,40,38,0,211,316,8,130,62,86,13,645,612,256,49,575,243,5,6,3,0,31,3,3,118,96,19,20,0,131,334,0,409,0,0,815,679,405,36,10,39,62,3,122,283,0,0,54,
,Kiama (A),5,0,140,7,3,0,0,0,0,0,0,0,0,12,4,9,53,9,3,7,13,9,16,0,6,0,151,210,0,43,10,20,5,390,308,73,28,614,93,33,5,0,0,24,3,3,32,75,5,29,3,108,303,0,278,0,0,361,350,135,6,9,29,79,3,113,39,0,0,33,
,Kogarah (A),15,0,7,7,0,0,0,0,0,0,0,0,0,47,42,21,32,17,8,91,85,52,66,308,3,0,283,312,16,43,84,164,37,562,424,207,56,696,114,96,3,5,0,70,3,3,48,1900,75,94,8,243,1047,0,834,0,0,1174,4884,373,108,3,64,150,7,260,475,0,0,75,
,Ku-ring-gai (A),53,0,53,11,9,0,0,3,0,0,4,6,10,183,35,22,325,132,24,16,141,39,97,33,18,0,1030,707,53,223,434,644,106,1663,1464,311,158,1077,245,39,13,4,0,145,8,13,489,463,75,362,29,638,4091,10,609,40,3,3929,3797,1026,195,170,183,287,10,669,381,9,0,377,
,Kyogle (A),5,0,664,20,14,0,0,0,0,0,0,0,0,22,3,58,3,3,0,25,11,24,8,17,4,0,64,70,3,34,40,33,4,135,103,79,22,106,65,0,0,0,0,4,0,0,19,23,3,0,0,14,89,0,89,0,3,302,173,69,12,15,21,25,3,36,32,0,0,21,
,Lachlan (A),3,0,770,27,7,0,3,0,0,3,3,0,0,7,0,16,10,4,8,23,11,21,21,16,17,0,26,41,0,68,22,12,0,92,99,55,21,112,54,4,0,0,0,3,8,0,17,20,0,4,0,12,70,0,177,0,0,253,143,63,16,0,0,14,0,18,24,3,0,23,
,Lake Macquarie (C),52,0,146,28,23,13,0,1084,0,0,11,81,101,1018,118,367,141,264,213,1250,1527,249,399,418,31,0,1328,2323,100,484,776,643,135,4052,4490,1448,337,2248,1036,32,18,9,0,163,47,25,363,557,554,339,31,783,2814,0,1634,6,3,4066,4047,1679,230,157,79,512,27,1209,637,3,0,412,
,Lane Cove (A),20,0,7,0,8,0,0,0,0,0,0,0,4,184,24,9,381,129,5,48,1045,98,109,370,13,58,693,364,35,56,562,400,61,462,719,117,95,606,123,0,12,0,0,61,45,10,295,248,80,190,16,257,3088,0,199,3,0,735,1287,319,79,148,66,181,11,301,170,0,0,255,
,Leeton (A),12,0,537,18,3,0,6,0,0,0,18,0,0,817,15,22,9,14,10,85,66,12,35,60,89,0,59,117,7,46,42,92,3,206,200,111,23,149,155,3,0,0,0,6,3,0,31,45,0,14,3,19,189,0,199,0,0,470,202,98,4,0,7,24,0,58,42,0,0,23,
,Leichhardt (A),23,0,13,0,3,3,0,0,0,0,0,0,0,104,132,34,387,67,36,72,163,161,122,5,9,0,554,538,35,127,161,411,64,934,1338,356,115,1247,156,8,103,12,0,227,34,13,132,208,34,123,16,389,3004,3,729,9,3,1141,1807,584,84,222,388,147,36,503,256,0,3,241,
