lga,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,No Religion,Supplementary codes,Not stated
West Coast (M),33,2843,25,3,0,12,1254,35,478
West Tamar (M),119,13453,70,47,7,80,6088,150,1800
Unincorporated Tas,0,58,0,4,0,3,29,3,19
No Usual Address (Tas.),18,441,3,5,5,12,352,21,216
Alice Springs (T),341,14006,237,119,24,232,6597,260,3367
Barkly (S),40,3784,8,19,3,110,1499,25,1332
Belyuen (S),0,123,0,0,0,0,35,7,15
Central Desert (S),8,2603,4,8,0,21,461,25,592
Coomalie (S),17,521,0,0,0,9,314,18,235
Darwin (C),2125,38304,1066,1092,83,542,18265,775,10675
East Arnhem (S),14,6999,0,3,0,976,641,14,449
Katherine (T),59,5219,13,16,5,44,2478,73,1277
Litchfield (M),346,9375,24,39,11,82,5692,212,3224
MacDonnell (S),13,4108,4,9,0,94,455,28,1117
