lga,"Oceanian, nfd","Australian Peoples, nfd",Australian,Australian Aboriginal,Australian South Sea Islander,Torres Strait Islander,"New Zealand Peoples, nfd",Maori,New Zealander,"Melanesian and Papuan, nfd",New Caledonian,Ni-Vanuatu,Papua New Guinean,Solomon Islander,"Melanesian and Papuan, nec","Micronesian, nfd",I-Kiribati,Nauruan,"Micronesian, nec","Polynesian, nfd",Cook Islander,Fijian,Niuean,Samoan,Tongan,Hawaiian,Tahitian,Tokelauan,Tuvaluan,Pitcairn,"Polynesian, nec","North-West European, nfd","British, nfd",English,Scottish,Welsh,Channel Islander,Manx,"British, nec",Irish,"Western European, nfd",Austrian,Dutch,Flemish,French,German,Swiss,Belgian,Frisian,Luxembourg,"Western European, nec","Northern European, nfd",Danish,Finnish,Icelandic,Norwegian,Swedish,"Northern European, nec","Southern and Eastern European, nfd","Southern European, nfd",Basque,Catalan,Italian,Maltese,Portuguese,Spanish,Gibraltarian,"Southern European, nec","South Eastern European, nfd",Albanian,Bosnian,Bulgarian,Croatian,Greek,Macedonian,Moldovan,Montenegrin,Romanian,Roma Gypsy,Serbian,Slovene,Cypriot,Vlach,"South Eastern European, nec","Eastern European, nfd",Belarusan,Czech,Estonian,Hungarian,Latvian,Lithuanian,Polish,Russian,Slovak,Ukrainian,Sorb/Wend,"Eastern European, nec","North African and Middle Eastern, nfd","Arab, nfd",Algerian,Egyptian,Iraqi,Jordanian,Kuwaiti,Lebanese,Libyan,Moroccan,Palestinian,Saudi Arabian,Syrian,Tunisian,Yemeni,Bahraini,Emirati,Omani,Qatari,"Arab, nec",Jewish,"Peoples of the Sudan, nfd",Bari,Darfur,Dinka,Nuer,South Sudanese,Sudanese,"Peoples of the Sudan, nec","Other North African and Middle Eastern, nfd",Berber,Coptic,Iranian,Kurdish,Turkish,Assyrian,Chaldean,Mandaean,Nubian,Yezidi,"Other North African and Middle Eastern, nec","South-East Asian, nfd","Mainland South-East Asian, nfd",Anglo-Burmese,Burmese,Hmong,Khmer (Cambodian),Lao,Thai,Vietnamese,Karen,Mon,Chin,Rohingya,"Mainland South-East Asian, nec","Maritime South-East Asian, nfd",Filipino,Indonesian,Javanese,Madurese,Malay,Sundanese,Timorese,Acehnese,Balinese,Bruneian,Kadazan,Singaporean,Temoq,"Maritime South-East Asian, nec","North-East Asian, nfd","Chinese Asian, nfd",Chinese,Taiwanese,"Chinese Asian, nec","Other North-East Asian, nfd",Japanese,Korean,Mongolian,Tibetan,"Other North-East Asian, nec","Southern and Central Asian, nfd","Southern Asian, nfd",Anglo-Indian,Bengali,Burgher,Gujarati,Indian,Malayali,Nepalese,Pakistani,Punjabi,Sikh,Sinhalese,Maldivian,Bangladeshi,Bhutanese,Fijian Indian,Kashmiri,Parsi,Sindhi,Sri Lankan,Sri Lankan Tamil,Indian Tamil,"Tamil, nfd",Telugu,"Southern Asian, nec","Central Asian, nfd",Afghan,Armenian,Georgian,Kazakh,Pathan,Uzbek,Azeri,Hazara,Tajik,Tatar,Turkmen,Uighur,Kyrgyz,"Central Asian, nec","Peoples of the Americas, nfd","North American, nfd",African American,American,Canadian,French Canadian,Hispanic North American,Native North American Indian,Bermudan,"North American, nec","South American, nfd",Argentinian,Bolivian,Brazilian,Chilean,Colombian,Ecuadorian,Guyanese,Peruvian,Uruguayan,Venezuelan,Paraguayan,"South American, nec","Central American, nfd",Mexican,Nicaraguan,Salvadoran,Costa Rican,Guatemalan,Mayan,"Central American, nec","Caribbean Islander, nfd",Cuban,Jamaican,Trinidadian Tobagonian,Barbadian,Puerto Rican,"Caribbean Islander, nec","Sub-Saharan African, nfd","Central and West African, nfd",Akan,Fulani,Ghanaian,Nigerian,Yoruba,Ivorean,Liberian,Sierra Leonean,Acholi,Cameroonian,Congolese,Gio,Igbo,Krahn,Mandinka,Senegalese,Themne,Togolese,"Central and West African, nec","Southern and East African, nfd",Afrikaner,Angolan,Eritrean,Ethiopian,Kenyan,Malawian,Mauritian,Mozambican,Namibian,Oromo,Seychellois,Somali,South African,Tanzanian,Ugandan,Zambian,Zimbabwean,Amhara,Batswana,Hutu,Masai,Tigrayan,Tigre,Zulu,Burundian,Kunama,Madi,Ogaden,Rwandan,Shona,Swahili,Swazilander,"Southern and East African, nec",Inadequately described,"Eurasian, so described","Asian, so described","African, so described","European, so described","Caucasian, so described","Creole, so described",Not stated
Blayney (A),0,0,2478,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3027,279,8,0,0,0,538,0,4,48,0,5,104,8,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,53,9,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,533
Blue Mountains (C),11,0,18257,55,6,0,0,48,160,0,0,5,6,3,0,0,0,0,0,4,3,31,0,26,9,0,0,4,0,0,0,0,19,34237,3929,207,0,3,0,5968,0,129,726,0,191,1669,68,21,0,0,0,8,80,42,0,31,54,0,6,0,0,0,1219,318,61,190,0,0,64,0,17,10,187,361,19,0,0,34,3,52,36,16,0,0,22,3,141,28,258,55,39,428,198,34,90,0,0,0,5,0,25,17,3,0,128,0,4,12,0,13,0,0,0,0,0,0,0,24,0,0,0,0,0,0,6,0,0,0,4,31,4,20,16,0,0,0,0,3,0,0,0,8,0,35,3,99,136,0,0,0,0,0,0,253,49,0,0,22,0,6,0,0,0,0,9,0,0,0,0,755,8,0,0,96,93,0,15,0,0,4,18,6,0,0,222,0,19,11,9,0,18,0,0,4,11,0,0,0,47,0,0,3,3,5,0,4,27,0,4,0,0,0,0,0,0,0,0,3,0,10,0,5,117,40,4,6,6,0,0,25,19,5,15,68,15,9,0,16,27,0,0,0,0,4,0,3,3,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,4,0,37,0,0,0,0,0,117,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,109,5,12,23,56,0,0,3852
Bogan (A),0,0,999,0,0,0,0,5,3,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1006,74,0,0,0,0,155,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,316
Botany Bay (C),26,0,5857,60,0,0,0,180,147,0,0,0,13,6,0,0,0,0,0,10,23,111,37,62,217,0,4,0,0,0,0,0,6,8552,1000,51,0,0,0,2224,0,39,101,0,149,458,17,10,0,0,0,11,21,9,0,3,28,0,6,0,0,0,1446,401,271,454,0,0,66,25,46,16,360,2301,112,5,14,35,0,256,13,172,0,0,39,10,73,8,146,11,25,207,333,64,133,0,0,21,63,6,223,153,13,0,360,10,12,21,9,39,0,0,0,0,4,0,0,103,4,0,0,0,0,0,11,0,0,0,8,148,13,731,412,8,0,0,0,41,12,0,0,22,0,34,11,389,293,0,0,0,0,8,0,1149,864,14,0,170,0,41,0,3,0,0,14,0,0,0,0,6104,29,5,0,183,229,86,0,0,0,39,9,314,0,0,1070,0,81,153,16,4,55,0,997,8,48,0,0,0,71,0,0,14,0,9,0,48,108,8,0,0,13,5,0,8,7,0,0,0,0,46,0,6,32,16,3,21,6,0,0,95,51,15,102,269,195,47,0,112,38,9,0,6,0,23,0,11,0,0,0,0,3,15,12,0,0,0,0,3,0,0,0,4,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,3,5,4,0,37,0,0,0,0,0,149,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,90,5,71,39,30,5,3,3358
Bourke (A),0,0,1002,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,720,52,3,0,0,0,144,0,0,4,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,525
Brewarrina (A),0,0,473,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,38,0,0,0,0,77,0,3,0,0,0,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171
Broken Hill (C),0,0,6225,41,0,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6753,673,15,0,0,0,915,0,3,36,0,8,335,6,0,0,0,0,0,3,0,0,9,6,0,0,0,0,0,381,106,0,3,0,0,25,0,3,0,38,42,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,4,10,3,0,3,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,5,0,0,0,0,0,0,104,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,5,3,0,0,0,0,0,0,0,0,9,60,0,4,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,9,5,4,0,0,1641
Burwood (A),9,0,2477,8,0,0,0,28,48,0,0,0,0,0,0,0,0,0,0,0,20,58,6,31,67,0,0,5,0,0,0,4,9,3928,422,6,0,0,0,1122,0,23,37,0,67,193,12,3,0,0,0,0,8,8,0,0,6,0,0,0,0,0,2709,75,158,159,0,0,30,3,21,3,321,1066,50,0,0,23,0,71,28,52,0,0,3,6,15,3,52,13,17,181,151,13,32,0,0,22,57,0,85,11,10,0,1387,0,0,26,5,41,0,0,0,0,0,0,0,8,0,0,0,0,0,0,13,0,0,0,0,60,6,83,62,0,0,0,0,0,4,0,0,63,0,18,10,231,587,0,0,0,0,5,0,447,92,0,0,41,0,0,0,0,0,0,16,0,0,0,0,11741,139,0,0,104,1466,10,0,0,0,53,11,15,0,10,1717,0,1310,92,3,0,12,0,72,0,12,0,0,0,158,45,0,91,6,8,0,10,14,0,0,0,9,3,0,0,0,0,0,0,0,7,0,0,15,5,0,8,0,0,0,20,18,0,18,38,49,9,0,45,20,4,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,5,0,21,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,5,32,10,16,0,0,1988
Byron (A),0,0,7102,29,3,0,0,29,102,0,0,0,5,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,0,5,12297,1433,62,4,0,0,2380,0,54,258,0,190,865,59,16,0,0,0,0,24,14,0,21,47,0,0,0,0,0,580,31,25,105,0,0,5,0,0,3,42,110,15,0,0,12,0,9,0,14,0,0,7,0,20,11,48,26,13,130,67,4,19,0,0,5,3,0,13,8,0,0,26,0,5,4,0,5,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,99,0,0,0,0,0,0,0,60,12,0,0,0,0,0,0,50,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,128,6,0,0,141,20,0,0,0,0,0,0,0,0,0,103,0,0,0,7,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,27,0,0,5,0,0,7,8,0,58,21,5,0,0,6,6,3,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,73,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,3,7,20,0,0,3984
Cabonne (A),0,0,4575,3,0,0,0,16,20,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5658,541,17,0,0,0,861,0,8,62,0,15,174,6,0,0,0,0,0,8,5,0,0,4,0,0,0,0,0,124,24,5,7,0,0,7,0,4,0,16,7,0,0,0,0,0,6,0,5,0,0,0,0,3,3,4,4,0,10,5,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,3,5,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,6,0,0,0,986
Camden (A),22,4,19109,36,3,0,0,139,200,0,0,0,21,0,0,0,0,0,0,10,18,169,5,222,74,0,0,0,0,0,0,0,15,26972,3082,125,0,0,0,4084,0,80,359,0,124,1241,26,6,0,0,0,6,36,47,3,16,21,0,5,0,0,0,4175,1127,180,322,0,0,65,4,104,4,596,596,208,0,7,50,0,442,65,63,0,0,8,0,62,29,135,22,16,397,149,19,63,0,0,6,147,3,221,127,28,0,744,0,4,64,0,30,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,0,0,7,18,91,15,124,310,61,12,0,0,0,0,0,0,9,0,116,126,121,272,0,0,0,0,0,0,644,49,0,0,26,0,20,0,0,0,0,9,0,0,0,0,1349,24,0,0,24,53,4,0,0,0,53,18,10,0,0,1365,3,57,177,22,5,36,0,75,0,112,0,0,0,118,4,0,0,0,0,0,130,36,0,0,0,0,0,9,0,0,0,0,0,0,53,0,5,59,40,0,19,7,0,0,135,80,0,25,294,24,10,0,69,119,0,0,0,0,10,12,27,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,3,9,4,165,0,0,0,12,13,221,3,3,5,110,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,94,0,35,109,50,3,0,3977
Campbelltown (C) (NSW),308,5,30647,238,29,4,0,909,497,3,0,4,41,3,0,0,0,11,0,22,413,996,62,3390,858,8,3,20,10,0,0,0,26,41742,4710,209,0,3,0,6159,0,128,588,0,333,2287,36,19,5,0,0,6,82,100,3,41,27,0,17,0,0,0,3047,747,344,1078,0,0,145,22,218,37,791,1179,387,5,3,160,3,456,64,95,0,0,26,3,114,23,271,28,24,851,356,54,150,0,8,106,483,7,838,721,96,19,2665,0,13,253,13,260,3,0,0,0,0,0,5,15,21,0,0,19,0,36,82,0,0,0,26,181,32,235,157,17,34,0,0,9,46,0,0,58,0,653,1016,478,1153,18,0,0,0,0,0,4684,373,7,0,184,0,99,0,0,0,0,20,0,9,0,0,4245,37,3,0,69,195,18,4,0,0,372,65,850,11,12,7648,14,1358,1206,190,66,115,5,3178,5,592,0,0,12,504,58,10,54,0,10,0,338,55,0,0,6,5,3,44,0,6,0,4,9,0,72,0,6,77,26,3,20,9,0,0,187,136,24,47,844,70,40,0,213,165,21,5,13,16,14,31,102,0,0,0,4,5,14,6,0,0,0,4,0,3,11,0,105,74,10,0,16,22,0,0,17,0,22,0,0,4,0,0,9,0,4,0,30,46,27,0,347,0,0,9,8,8,631,13,4,3,144,0,3,0,0,0,0,9,9,0,0,0,15,0,0,0,14,300,14,283,269,85,0,0,10086
Canada Bay (A),16,0,9670,34,5,0,0,88,199,0,0,0,5,0,0,0,0,0,0,0,12,48,4,31,51,0,0,0,0,0,0,0,8,17246,2100,102,0,4,5,4422,0,77,212,0,198,787,56,16,0,0,0,15,41,36,3,26,42,0,13,0,0,3,11804,411,266,471,0,0,54,12,66,23,529,2539,146,0,15,41,0,280,72,157,0,0,18,13,69,10,191,30,38,380,308,57,102,0,9,35,246,6,378,28,31,9,1383,0,9,44,100,50,0,0,0,0,0,0,0,21,0,0,0,0,0,0,14,0,0,0,6,359,18,399,112,7,0,0,0,15,3,0,4,59,0,46,11,287,638,0,0,0,0,0,0,740,150,0,0,116,0,4,0,0,0,0,27,0,0,0,0,14236,95,0,0,213,3567,12,5,0,0,37,17,29,0,3,2793,5,383,147,9,13,21,6,63,0,25,0,3,5,355,35,0,85,10,3,0,21,105,8,4,0,3,7,4,0,9,0,0,0,0,19,0,7,80,32,6,6,0,0,0,43,58,4,103,147,149,10,3,54,34,21,0,3,0,22,4,8,0,0,0,3,0,4,4,0,0,0,0,0,0,0,0,13,14,0,0,0,6,0,0,0,0,4,0,0,0,0,4,3,0,11,0,0,4,12,0,75,0,0,0,0,0,187,13,0,0,8,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,7,74,3,49,36,32,3,0,5240
Canterbury-Bankstown (A),189,12,36089,194,72,4,0,947,518,6,0,11,25,0,0,0,0,7,5,53,621,1146,97,1364,1414,0,7,16,0,0,8,9,26,42039,4296,147,3,5,0,7438,0,168,427,0,421,2157,70,27,0,0,0,4,78,84,0,30,56,0,20,0,6,0,12342,1055,3043,1262,0,0,190,119,365,64,1298,19651,3929,5,44,197,0,687,187,1368,0,0,45,22,127,37,495,159,119,1187,497,97,289,0,27,562,4441,265,3288,1560,676,20,44929,50,160,2122,33,2751,57,68,3,3,0,0,52,37,45,0,0,0,0,12,294,0,14,21,42,527,239,1404,394,19,7,0,0,37,54,8,0,841,0,272,141,1079,22544,61,0,3,533,10,0,4427,3108,17,0,407,4,20,36,8,0,0,55,0,23,0,0,37544,143,3,0,381,4047,124,14,0,0,499,71,1391,0,11,7606,7,3174,5007,196,121,64,5,6460,24,403,11,5,14,516,46,10,95,7,33,0,519,288,6,3,79,14,16,135,0,0,20,18,0,0,85,3,23,137,44,3,44,13,0,0,218,145,10,235,499,302,110,9,286,156,29,3,17,4,45,12,41,8,0,0,0,14,4,11,0,0,0,10,3,8,10,15,410,115,26,6,8,223,0,0,16,0,33,0,3,23,12,0,100,3,8,0,51,284,71,3,549,4,0,16,16,419,321,13,9,3,87,4,0,0,0,6,0,0,3,0,0,0,10,6,3,0,16,528,13,556,824,168,4,4,22567
Carrathool (A),0,0,882,9,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,987,143,0,0,0,0,166,0,0,7,0,8,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4,20,0,0,0,0,0,0,0,0,0,30,0,0,0,10,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,248
Central Coast (C) (NSW),38,3,90314,243,10,9,0,704,872,6,4,3,61,0,0,0,3,0,0,25,44,190,26,161,225,0,0,0,0,0,0,9,58,141695,15235,736,0,9,5,20925,0,258,1994,3,591,4739,147,62,3,0,0,33,280,177,4,100,214,0,21,0,5,0,5300,1611,253,761,0,0,146,11,59,32,529,1221,90,0,6,83,0,266,83,68,0,0,51,27,171,59,414,121,77,847,633,71,199,0,0,12,55,14,198,29,5,0,501,0,17,31,0,40,3,7,0,0,0,0,0,35,0,0,0,0,0,5,10,0,0,0,11,128,14,151,52,5,0,0,0,19,0,0,0,43,0,60,30,494,319,4,0,0,0,0,0,1630,233,0,0,73,0,9,0,8,0,0,18,0,3,0,0,3393,25,0,0,273,683,3,0,0,0,20,30,23,0,3,1713,22,91,106,32,10,32,0,57,0,36,0,0,0,205,9,0,28,0,6,0,38,78,3,0,3,6,0,0,0,12,0,0,0,0,34,8,10,269,150,16,10,15,0,0,115,83,3,86,266,80,6,0,79,89,11,19,4,8,19,0,11,0,0,0,4,15,4,7,0,0,0,10,0,0,0,0,7,21,10,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,18,0,0,10,16,4,117,0,0,0,10,0,721,0,4,10,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,476,18,49,170,118,8,6,19681
Central Darling (A),0,0,475,426,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,417,50,0,0,0,0,53,0,0,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,321
